config,n_dets,n_trks,time_ns
greedy_dist2_cvcy_count_yc,137,72,20664414
greedy_dist2_cvcy_count_yc,141,106,571158291
greedy_dist2_cvcy_count_yc,162,89,26034037
greedy_dist2_cvcy_count_yc,167,113,28041423
greedy_dist2_cvcy_count_yc,177,117,30833890
greedy_dist2_cvcy_count_yc,157,122,29489075
greedy_dist2_cvcy_count_yc,169,113,34531019
greedy_dist2_cvcy_count_yc,158,103,29866911
greedy_dist2_cvcy_count_yc,182,108,30249667
greedy_dist2_cvcy_count_yc,188,117,34042890
greedy_dist2_cvcy_count_yc,193,112,32811285
greedy_dist2_cvcy_count_yc,205,109,35400780
greedy_dist2_cvcy_count_yc,202,114,33232217
greedy_dist2_cvcy_count_yc,213,122,36651263
greedy_dist2_cvcy_count_yc,207,121,35660566
greedy_dist2_cvcy_count_yc,209,107,35392634
greedy_dist2_cvcy_count_yc,217,121,38059376
greedy_dist2_cvcy_count_yc,245,153,45872433
greedy_dist2_cvcy_count_yc,238,171,50340941
greedy_dist2_cvcy_count_yc,229,161,51021991
greedy_dist2_cvcy_count_yc,239,159,55646556
greedy_dist2_cvcy_count_yc,242,170,121992365
greedy_dist2_cvcy_count_yc,228,142,44924139
greedy_dist2_cvcy_count_yc,223,129,41016746
greedy_dist2_cvcy_count_yc,206,124,34773531
greedy_dist2_cvcy_count_yc,226,130,39723787
greedy_dist2_cvcy_count_yc,188,122,31712341
greedy_dist2_cvcy_count_yc,186,101,30891008
greedy_dist2_cvcy_count_yc,190,102,31608100
greedy_dist2_cvcy_count_yc,166,97,28322825
greedy_dist2_cvcy_count_yc,176,94,27139952
greedy_dist2_cvcy_count_yc,176,92,25222600
greedy_dist2_cvcy_count_yc,194,89,25351612
greedy_dist2_cvcy_count_yc,189,92,27880793
greedy_dist2_cvcy_count_yc,190,96,24695052
greedy_dist2_cvcy_count_yc,173,93,25356511
greedy_dist2_cvcy_count_yc,181,94,25710619
greedy_dist2_cvcy_count_yc,183,96,27283644
greedy_dist2_cvcy_count_yc,202,104,28824574
