exp_config,split,amota,bicycle_amota,bus_amota,car_amota,moto_amota,ped_amota,trailer_amota,truck_amota
greedy_dist2_cvcy_obj_conf_mult_05_yc_results,mini_train,0.490,0.168,0.559,0.508,0.309,0.706,0.775,0.407
hungarian_dist2_ack_conf_padd_30_noyc_results,mini_train,0.426,0.352,0.500,0.410,0.171,0.409,0.775,0.365
greedy_dist10_cvcy_conf_mult_50_noyc_results,mini_train,0.565,0.362,0.714,0.625,0.387,0.653,0.775,0.440
hungarian_dist5_cvcy_conf_padd_25_noyc_results,mini_train,0.525,0.453,0.650,0.492,0.231,0.640,0.775,0.433
hungarian_dist10_ack_conf_mult_50_yc_results,mini_train,0.352,0.094,0.453,0.230,0.114,0.458,0.775,0.337
greedy_dist2_cvcy_obj_conf_mult_50_yc_results,mini_train,0.478,0.227,0.573,0.496,0.192,0.658,0.775,0.427
hungarian_dist10_cvcy_obj_conf_mult_25_noyc_results,mini_train,0.509,0.362,0.682,0.444,0.342,0.555,0.775,0.406
greedy_dist2_cvcy_obj_conf_mult_20_noyc_results,mini_train,0.475,0.224,0.572,0.515,0.191,0.676,0.775,0.370
hungarian_dist10_cvcy_conf_padd_20_noyc_results,mini_train,0.494,0.385,0.658,0.445,0.323,0.603,0.775,0.271
greedy_dist5_ack_conf_mult_30_yc_results,mini_train,0.455,0.282,0.537,0.454,0.208,0.546,0.775,0.383
greedy_dist2_cvcy_conf_padd_15_yc_results,mini_train,0.528,0.388,0.590,0.533,0.210,0.754,0.775,0.445
hungarian_dist2_ack_conf_padd_10_yc_results,mini_train,0.386,0.307,0.378,0.394,0.193,0.444,0.775,0.211
hungarian_dist5_cvcy_conf_padd_40_yc_results,mini_train,0.514,0.417,0.661,0.473,0.257,0.619,0.775,0.399
greedy_dist5_cvcy_obj_conf_mult_25_noyc_results,mini_train,0.557,0.383,0.692,0.604,0.306,0.675,0.775,0.463
hungarian_dist10_ack_conf_mult_40_noyc_results,mini_train,0.345,0.099,0.437,0.206,0.115,0.475,0.775,0.305
hungarian_dist5_cvcy_obj_conf_padd_50_noyc_results,mini_train,0.528,0.418,0.685,0.492,0.240,0.618,0.775,0.468
greedy_dist2_cvcy_obj_conf_padd_20_yc_results,mini_train,0.517,0.352,0.570,0.534,0.201,0.732,0.775,0.454
greedy_dist10_ack_conf_mult_40_yc_results,mini_train,0.384,0.108,0.405,0.374,0.144,0.538,0.775,0.347
greedy_dist2_cvcy_obj_conf_mult_25_noyc_results,mini_train,0.477,0.207,0.575,0.513,0.192,0.677,0.775,0.400
greedy_dist2_cvcy_conf_mult_30_yc_results,mini_train,0.476,0.256,0.575,0.495,0.192,0.679,0.775,0.363
greedy_dist10_ack_conf_padd_50_yc_results,mini_train,0.420,0.162,0.435,0.386,0.185,0.594,0.775,0.404
greedy_dist2_cvcy_obj_count_yc_results,mini_train,0.443,0.092,0.497,0.211,0.208,0.807,0.767,0.522
hungarian_dist5_ack_conf_mult_30_noyc_results,mini_train,0.431,0.296,0.556,0.340,0.202,0.504,0.775,0.347
hungarian_dist10_cvcy_obj_conf_padd_15_yc_results,mini_train,0.501,0.516,0.668,0.458,0.310,0.615,0.775,0.165
greedy_dist10_cvcy_conf_mult_40_noyc_results,mini_train,0.569,0.362,0.739,0.629,0.389,0.650,0.775,0.443
greedy_dist10_cvcy_obj_conf_mult_25_noyc_results,mini_train,0.569,0.361,0.736,0.612,0.389,0.655,0.775,0.453
hungarian_dist2_ack_conf_padd_40_yc_results,mini_train,0.421,0.280,0.500,0.400,0.173,0.442,0.775,0.376
hungarian_dist5_cvcy_conf_mult_15_yc_results,mini_train,0.523,0.410,0.658,0.476,0.284,0.602,0.775,0.459
greedy_dist10_ack_conf_mult_05_yc_results,mini_train,0.401,0.136,0.445,0.390,0.123,0.575,0.775,0.361
greedy_dist10_cvcy_obj_conf_padd_05_yc_results,mini_train,0.590,0.402,0.727,0.639,0.418,0.706,0.775,0.461
hungarian_dist10_cvcy_conf_padd_30_yc_results,mini_train,0.489,0.341,0.670,0.451,0.321,0.589,0.775,0.277
greedy_dist10_cvcy_obj_conf_mult_15_yc_results,mini_train,0.581,0.388,0.736,0.646,0.460,0.683,0.775,0.381
hungarian_dist2_cvcy_count_yc_results,mini_train,0.411,0.131,0.430,0.165,0.208,0.762,0.711,0.474
hungarian_dist5_cvcy_conf_mult_50_yc_results,mini_train,0.507,0.362,0.658,0.467,0.265,0.569,0.775,0.457
hungarian_dist10_cvcy_conf_mult_30_noyc_results,mini_train,0.495,0.351,0.653,0.417,0.336,0.574,0.775,0.356
hungarian_dist2_cvcy_conf_padd_40_noyc_results,mini_train,0.456,0.235,0.571,0.426,0.169,0.608,0.775,0.409
hungarian_dist10_cvcy_conf_padd_05_yc_results,mini_train,0.557,0.535,0.716,0.473,0.406,0.607,0.777,0.381
hungarian_dist10_cvcy_obj_conf_padd_25_noyc_results,mini_train,0.516,0.353,0.664,0.465,0.357,0.600,0.775,0.399
hungarian_dist2_ack_conf_padd_20_noyc_results,mini_train,0.415,0.356,0.481,0.416,0.164,0.439,0.775,0.271
greedy_dist10_ack_conf_padd_10_yc_results,mini_train,0.425,0.182,0.435,0.404,0.179,0.611,0.775,0.389
greedy_dist5_ack_conf_padd_15_noyc_results,mini_train,0.476,0.371,0.535,0.484,0.155,0.599,0.775,0.415
greedy_dist2_cvcy_obj_conf_mult_05_noyc_results,mini_train,0.492,0.177,0.559,0.509,0.309,0.700,0.775,0.416
greedy_dist10_cvcy_obj_conf_padd_50_noyc_results,mini_train,0.589,0.408,0.731,0.636,0.382,0.679,0.775,0.512
hungarian_dist10_cvcy_obj_conf_padd_30_yc_results,mini_train,0.492,0.391,0.650,0.457,0.310,0.595,0.775,0.266
greedy_dist5_cvcy_obj_conf_padd_15_noyc_results,mini_train,0.592,0.506,0.689,0.620,0.326,0.741,0.775,0.487
hungarian_dist5_cvcy_obj_conf_mult_25_noyc_results,mini_train,0.514,0.425,0.659,0.466,0.222,0.561,0.775,0.493
hungarian_dist2_cvcy_conf_padd_20_yc_results,mini_train,0.454,0.275,0.525,0.431,0.164,0.674,0.775,0.333
hungarian_dist5_ack_conf_mult_15_noyc_results,mini_train,0.415,0.251,0.534,0.357,0.249,0.517,0.775,0.224
greedy_dist10_ack_conf_padd_50_noyc_results,mini_train,0.413,0.156,0.435,0.383,0.185,0.556,0.775,0.403
greedy_dist5_cvcy_obj_conf_mult_20_noyc_results,mini_train,0.556,0.403,0.692,0.602,0.308,0.694,0.775,0.418
hungarian_dist2_ack_conf_mult_10_noyc_results,mini_train,0.385,0.373,0.444,0.379,0.250,0.400,0.775,0.077
hungarian_dist10_cvcy_obj_conf_mult_50_noyc_results,mini_train,0.502,0.323,0.653,0.459,0.318,0.552,0.775,0.431
hungarian_dist2_cvcy_conf_padd_25_yc_results,mini_train,0.456,0.272,0.533,0.432,0.169,0.655,0.775,0.354
hungarian_dist10_cvcy_obj_conf_mult_15_yc_results,mini_train,0.497,0.362,0.671,0.463,0.328,0.567,0.775,0.312
greedy_dist10_ack_count_noyc_results,mini_train,0.364,0.000,0.426,0.183,0.161,0.636,0.754,0.389
hungarian_dist2_ack_conf_padd_20_yc_results,mini_train,0.415,0.356,0.481,0.416,0.164,0.442,0.775,0.270
greedy_dist2_ack_conf_mult_10_yc_results,mini_train,0.451,0.367,0.507,0.482,0.272,0.444,0.775,0.309
greedy_dist10_cvcy_obj_conf_padd_25_yc_results,mini_train,0.586,0.374,0.732,0.657,0.385,0.714,0.775,0.464
greedy_dist5_ack_conf_mult_30_noyc_results,mini_train,0.454,0.282,0.537,0.454,0.208,0.539,0.775,0.383
greedy_dist2_cvcy_conf_mult_40_noyc_results,mini_train,0.475,0.224,0.575,0.496,0.192,0.656,0.775,0.409
greedy_dist2_cvcy_obj_conf_padd_25_noyc_results,mini_train,0.516,0.349,0.572,0.539,0.200,0.715,0.775,0.465
greedy_dist5_cvcy_conf_padd_20_noyc_results,mini_train,0.585,0.433,0.714,0.622,0.326,0.746,0.775,0.482
greedy_dist2_ack_conf_padd_40_yc_results,mini_train,0.455,0.331,0.522,0.493,0.197,0.469,0.775,0.399
greedy_dist5_cvcy_conf_mult_25_noyc_results,mini_train,0.565,0.383,0.718,0.602,0.306,0.695,0.775,0.474
greedy_dist2_ack_conf_mult_20_noyc_results,mini_train,0.413,0.221,0.517,0.481,0.191,0.418,0.775,0.290
greedy_dist10_ack_conf_padd_10_noyc_results,mini_train,0.416,0.182,0.435,0.405,0.179,0.574,0.775,0.361
greedy_dist10_cvcy_obj_conf_mult_50_yc_results,mini_train,0.566,0.362,0.712,0.623,0.387,0.648,0.775,0.452
greedy_dist10_cvcy_obj_conf_padd_20_yc_results,mini_train,0.581,0.396,0.731,0.656,0.388,0.714,0.775,0.409
greedy_dist10_ack_conf_mult_15_yc_results,mini_train,0.406,0.130,0.443,0.417,0.177,0.575,0.775,0.324
greedy_dist10_cvcy_conf_padd_10_noyc_results,mini_train,0.593,0.408,0.757,0.649,0.393,0.732,0.775,0.435
greedy_dist2_cvcy_obj_conf_padd_30_yc_results,mini_train,0.514,0.345,0.573,0.537,0.199,0.715,0.775,0.455
greedy_dist2_cvcy_conf_padd_25_noyc_results,mini_train,0.517,0.336,0.575,0.537,0.200,0.737,0.775,0.460
hungarian_dist2_ack_count_noyc_results,mini_train,0.384,0.101,0.435,0.128,0.188,0.616,0.795,0.425
hungarian_dist5_ack_count_noyc_results,mini_train,0.390,0.007,0.526,0.143,0.181,0.637,0.829,0.407
greedy_dist2_cvcy_obj_conf_mult_15_noyc_results,mini_train,0.500,0.300,0.570,0.515,0.247,0.697,0.775,0.395
hungarian_dist10_cvcy_conf_padd_50_noyc_results,mini_train,0.503,0.398,0.652,0.449,0.330,0.594,0.775,0.321
greedy_dist5_cvcy_conf_mult_15_noyc_results,mini_train,0.577,0.432,0.718,0.599,0.386,0.713,0.775,0.417
greedy_dist2_ack_conf_padd_20_yc_results,mini_train,0.466,0.400,0.515,0.502,0.196,0.473,0.775,0.403
hungarian_dist5_ack_conf_padd_15_noyc_results,mini_train,0.422,0.272,0.529,0.386,0.144,0.560,0.775,0.288
hungarian_dist2_ack_conf_padd_30_yc_results,mini_train,0.430,0.352,0.500,0.409,0.171,0.435,0.775,0.365
greedy_dist2_ack_conf_mult_40_noyc_results,mini_train,0.420,0.224,0.523,0.468,0.192,0.414,0.775,0.343
hungarian_dist2_cvcy_conf_padd_30_noyc_results,mini_train,0.466,0.294,0.571,0.439,0.169,0.633,0.775,0.378
hungarian_dist10_ack_conf_padd_40_noyc_results,mini_train,0.378,0.222,0.466,0.234,0.166,0.494,0.775,0.290
greedy_dist2_ack_conf_mult_30_yc_results,mini_train,0.420,0.256,0.523,0.465,0.192,0.438,0.775,0.293
hungarian_dist5_ack_conf_padd_20_noyc_results,mini_train,0.417,0.327,0.525,0.368,0.139,0.555,0.775,0.230
hungarian_dist5_cvcy_obj_conf_mult_25_yc_results,mini_train,0.506,0.369,0.659,0.490,0.226,0.577,0.775,0.446
greedy_dist10_ack_conf_padd_15_noyc_results,mini_train,0.411,0.141,0.444,0.414,0.153,0.577,0.775,0.371
hungarian_dist2_cvcy_obj_conf_mult_20_yc_results,mini_train,0.434,0.207,0.546,0.429,0.185,0.589,0.775,0.308
