config,n_dets,n_trks,time_ns
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,137,41,12068959
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,141,40,719487600
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,162,49,16853126
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,167,58,20411097
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,177,63,22850367
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,157,72,20642302
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,169,63,22735175
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,158,66,20726357
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,182,67,26018720
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,188,79,25955774
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,193,74,27158017
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,205,77,27937622
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,202,74,27458160
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,213,73,28997003
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,207,67,27539589
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,209,77,40561963
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,217,81,30314387
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,245,97,33986789
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,238,96,35658437
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,229,93,34363202
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,239,97,37999315
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,242,90,37384885
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,228,84,102843692
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,223,83,30188546
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,206,77,27484458
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,226,78,29663971
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,188,69,25567709
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,186,64,23193699
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,190,65,24589098
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,166,63,23093614
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,176,67,23427209
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,176,62,23757246
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,194,59,23234384
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,189,56,21176915
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,190,56,23972372
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,173,57,21086790
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,181,58,21366335
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,183,57,23001004
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,202,60,22296057
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,89,30,7222718
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,65,35,8078412
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,79,43,9402550
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,69,45,13674684
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,60,43,9517752
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,73,43,10761361
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,69,47,10393163
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,66,43,11169602
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,74,48,11887134
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,64,46,11149106
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,67,45,11362888
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,76,46,11811655
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,72,49,11469445
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,92,52,13162612
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,73,52,12000222
