exp_config,split,amota,bicycle_amota,bus_amota,car_amota,moto_amota,ped_amota,trailer_amota,truck_amota
greedy_iou_bestmodel_conf_padd_15_yc_results,val,0.421,0.241,0.294,0.684,0.387,0.472,0.349,0.518
greedy_dist5_bestmodel_conf_padd_15_yc_results,val,0.484,0.301,0.400,0.682,0.407,0.700,0.388,0.511
greedy_giou_bestmodel_conf_padd_15_yc_results,val,0.455,0.314,0.289,0.702,0.300,0.687,0.373,0.519
greedy_dist5_bestmodel_conf_mult_50_noyc_results,val,0.508,0.330,0.680,0.639,0.434,0.612,0.360,0.500
greedy_dist10_bestmodel_conf_mult_10_noyc_results,val,0.530,0.302,0.734,0.677,0.510,0.640,0.357,0.489
greedy_dist10_bestmodel_conf_padd_40_noyc_results,val,0.521,0.291,0.714,0.677,0.485,0.659,0.329,0.495
greedy_dist10_bestmodel_conf_padd_20_noyc_results,val,0.528,0.268,0.731,0.685,0.491,0.674,0.350,0.495
greedy_dist2_bestmodel_conf_mult_40_noyc_results,val,0.456,0.276,0.525,0.573,0.388,0.615,0.382,0.436
greedy_dist2_bestmodel_conf_mult_05_noyc_results,val,0.463,0.251,0.507,0.587,0.441,0.642,0.374,0.437
greedy_dist2_bestmodel_conf_mult_30_noyc_results,val,0.460,0.279,0.526,0.573,0.402,0.616,0.385,0.438
greedy_dist10_bestmodel_conf_padd_50_noyc_results,val,0.515,0.286,0.707,0.676,0.463,0.661,0.320,0.495
greedy_dist10_bestmodel_conf_padd_05_noyc_results,val,0.520,0.244,0.739,0.673,0.485,0.675,0.331,0.493
greedy_dist5_bestmodel_conf_mult_30_noyc_results,val,0.519,0.331,0.687,0.658,0.460,0.614,0.376,0.508
greedy_dist5_bestmodel_conf_padd_25_noyc_results,val,0.537,0.301,0.711,0.674,0.490,0.688,0.386,0.512
greedy_dist10_bestmodel_conf_mult_40_noyc_results,val,0.508,0.311,0.699,0.665,0.463,0.610,0.310,0.498
greedy_dist5_bestmodel_conf_mult_20_noyc_results,val,0.529,0.329,0.708,0.656,0.486,0.630,0.391,0.503
greedy_dist2_bestmodel_conf_padd_05_noyc_results,val,0.466,0.215,0.507,0.592,0.438,0.692,0.374,0.442
greedy_dist2_bestmodel_conf_mult_50_noyc_results,val,0.450,0.279,0.502,0.573,0.386,0.593,0.383,0.433
greedy_dist2_bestmodel_conf_padd_40_noyc_results,val,0.468,0.262,0.523,0.591,0.408,0.672,0.376,0.443
greedy_dist5_bestmodel_conf_padd_40_noyc_results,val,0.530,0.312,0.692,0.674,0.477,0.668,0.379,0.508
greedy_dist2_bestmodel_conf_padd_30_noyc_results,val,0.471,0.256,0.524,0.608,0.414,0.673,0.380,0.444
greedy_dist5_bestmodel_count_noyc_results,val,0.535,0.270,0.697,0.667,0.463,0.771,0.348,0.533
greedy_dist2_bestmodel_conf_padd_50_noyc_results,val,0.458,0.259,0.505,0.591,0.387,0.653,0.374,0.439
greedy_dist10_bestmodel_conf_padd_25_noyc_results,val,0.531,0.282,0.729,0.688,0.487,0.677,0.350,0.501
greedy_dist10_bestmodel_conf_mult_15_noyc_results,val,0.526,0.309,0.732,0.680,0.491,0.624,0.355,0.494
greedy_dist2_bestmodel_conf_padd_25_noyc_results,val,0.473,0.246,0.523,0.608,0.428,0.672,0.385,0.447
greedy_dist10_bestmodel_conf_padd_10_noyc_results,val,0.528,0.264,0.732,0.681,0.504,0.685,0.340,0.494
greedy_dist2_bestmodel_count_noyc_results,val,0.429,0.226,0.297,0.484,0.393,0.773,0.367,0.464
greedy_dist2_bestmodel_conf_mult_10_noyc_results,val,0.471,0.270,0.516,0.584,0.441,0.649,0.400,0.436
greedy_dist5_bestmodel_conf_mult_05_noyc_results,val,0.534,0.312,0.723,0.662,0.501,0.659,0.384,0.499
greedy_dist5_bestmodel_conf_mult_10_noyc_results,val,0.535,0.325,0.716,0.669,0.496,0.647,0.387,0.502
greedy_dist5_bestmodel_conf_mult_25_noyc_results,val,0.522,0.330,0.705,0.657,0.462,0.634,0.363,0.504
greedy_dist10_bestmodel_conf_padd_15_noyc_results,val,0.531,0.274,0.729,0.683,0.501,0.689,0.344,0.495
greedy_dist2_bestmodel_conf_padd_15_noyc_results,val,0.476,0.249,0.514,0.602,0.440,0.687,0.393,0.447
greedy_dist5_bestmodel_conf_padd_20_noyc_results,val,0.539,0.300,0.711,0.683,0.502,0.685,0.381,0.508
greedy_dist5_bestmodel_conf_padd_30_noyc_results,val,0.534,0.308,0.707,0.673,0.484,0.669,0.382,0.511
greedy_dist2_bestmodel_conf_mult_25_noyc_results,val,0.462,0.276,0.525,0.592,0.407,0.614,0.378,0.442
greedy_dist10_bestmodel_conf_padd_30_noyc_results,val,0.525,0.286,0.730,0.677,0.480,0.677,0.327,0.500
greedy_dist2_bestmodel_conf_mult_15_noyc_results,val,0.469,0.277,0.519,0.588,0.422,0.632,0.404,0.438
greedy_dist2_bestmodel_conf_mult_20_noyc_results,val,0.469,0.283,0.521,0.589,0.429,0.633,0.390,0.437
greedy_dist5_bestmodel_conf_mult_40_noyc_results,val,0.515,0.328,0.686,0.658,0.449,0.613,0.368,0.502
greedy_dist2_bestmodel_conf_padd_20_noyc_results,val,0.476,0.244,0.522,0.605,0.439,0.689,0.392,0.445
greedy_dist5_bestmodel_conf_padd_10_noyc_results,val,0.544,0.297,0.717,0.678,0.518,0.696,0.388,0.511
greedy_dist10_bestmodel_count_noyc_results,val,0.540,0.252,0.734,0.721,0.477,0.756,0.294,0.547
greedy_dist5_bestmodel_conf_padd_50_noyc_results,val,0.526,0.311,0.691,0.673,0.455,0.668,0.377,0.506
greedy_dist5_bestmodel_conf_mult_15_noyc_results,val,0.529,0.330,0.711,0.656,0.476,0.630,0.395,0.504
greedy_dist2_bestmodel_conf_padd_10_noyc_results,val,0.477,0.242,0.512,0.609,0.451,0.701,0.384,0.444
greedy_dist10_bestmodel_conf_mult_30_noyc_results,val,0.516,0.320,0.705,0.665,0.479,0.630,0.318,0.497
greedy_dist10_bestmodel_conf_mult_05_noyc_results,val,0.524,0.290,0.737,0.672,0.495,0.649,0.341,0.483
greedy_dist5_bestmodel_conf_padd_15_noyc_results,val,0.544,0.301,0.711,0.682,0.516,0.700,0.391,0.511
greedy_dist10_bestmodel_conf_mult_20_noyc_results,val,0.520,0.311,0.729,0.664,0.482,0.625,0.336,0.491
greedy_dist10_bestmodel_conf_mult_50_noyc_results,val,0.504,0.313,0.694,0.665,0.444,0.609,0.310,0.496
greedy_dist5_bestmodel_conf_padd_05_noyc_results,val,0.537,0.271,0.721,0.668,0.510,0.699,0.384,0.505
greedy_dist10_bestmodel_conf_mult_25_noyc_results,val,0.517,0.316,0.725,0.664,0.478,0.628,0.315,0.492
